filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-14,34350,2015-03-31,,17835000000,0.036,,,,,1511000000,-0.001,1509000000,0.025,1114000000,,0.224,136.91,135.93,0.126,0.101,0.085,,15192000000,9573000000,0.614,1146.57,9331000000,1127000000,-309000000,-783000000,1644000000,,0.110,,,,,,true,false,12,2014-04-01,2015-03-31,0
2015-05-14,34350,2014-03-31,,17209000000,0.139,,,,,1513000000,0.745,1472000000,0.751,910000000,,1.053,111.83,111.24,0.119,0.102,0.088,,14828000000,8340000000,0.549,999.93,8138000000,1356000000,-240000000,-710000000,1576000000,,0.134,,,,,,true,false,12,2013-04-01,2014-03-31,-1
2015-05-14,34350,2016-03-31,,8670000000,0.028,,,,,655000000,-0.078,643000000,-0.068,,428000000,,52.59,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,1
2015-05-14,34350,2016-03-31,,18800000000,0.054,,,,,1620000000,0.072,1600000000,0.060,,1075000000,,132.09,,,,,,,,,,,,,,,,0.136,,,,,,true,true,12,2015-04-01,2016-03-31,1
2015-05-14,34350,2015-03-31,,15181000000,0.029,,,,,1219000000,-0.051,1232000000,-0.044,933000000,,0.163,114.75,113.94,,,,,13142000000,8038000000,0.609,983.59,8005000000,,,,,15.00,,,,8745408,606786,8138622,false,false,12,2014-04-01,2015-03-31,0
2015-05-14,34350,2014-03-31,,14749000000,0.126,,,,,1285000000,0.882,1289000000,0.830,802000000,,1.260,98.61,98.09,,,,,13134000000,7174000000,0.545,878.89,7152000000,,,,,30.00,,,,8745408,606738,8138732,false,false,12,2013-04-01,2014-03-31,-1
2015-05-14,34350,2016-03-31,,7150000000,0.010,,,,,505000000,-0.079,498000000,-0.097,337000000,,-0.073,41.41,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,1
2015-05-14,34350,2016-03-31,,15800000000,0.041,,,,,1300000000,0.066,1280000000,0.039,870000000,,-0.068,106.90,,,,,,,,,,,,,,,18.00,,,,,,,false,true,12,2015-04-01,2016-03-31,1
2015-08-11,34350,2016-03-31,1,3546000000,-0.057,,,,,157000000,-0.357,147000000,-0.388,,84000000,,10.36,10.28,,,,,14675000000,9569000000,0.635,,9323000000,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,0
2015-08-11,34350,2015-03-31,1,3761000000,0.073,,,,,245000000,0.355,240000000,0.560,,144000000,,17.79,17.68,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-04-01,2014-06-30,-1
