filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-12,21950,2015-12-31,1,1056000000,-0.029,,,,,-43000000,,-44000000,,-46000000,,,-40.02,,,,,,3574000000,656000000,0.184,,656000000,,,,,,,,,,,,true,false,3,2015-01-01,2015-03-31,0
2015-05-12,21950,2014-12-31,1,1087000000,-0.005,,,,,-52000000,,-56000000,,-27000000,,,-23.64,,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-01-01,2014-03-31,-1
2015-05-12,21950,2015-12-31,1,2302000000,0.032,,,,,4000000,,-8000000,,-22000000,,,-19.51,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-01-01,2015-06-30,0
2015-05-12,21950,2015-12-31,1,4757000000,0.091,,,,,110000000,,80000000,,69000000,,,59.01,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-01-01,2015-12-31,0
2015-05-12,21950,2014-12-31,1,,,,,,,,,,,,,,,,,,,,3737000000,703000000,0.188,,703000000,,,,,,,,,,,,true,false,12,2014-01-01,2014-12-31,-1
2015-05-12,21950,2014-12-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,1169424,191,,false,false,12,2014-01-01,2014-12-31,-1
2015-05-12,21950,2015-12-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70,,,,,,,false,true,12,2015-01-01,2015-12-31,0
2015-05-12,21950,2015-12-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169424,191,1169233,false,false,3,2015-01-01,2015-03-31,0
2015-05-12,21950,2014-12-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169256,false,false,3,2014-01-01,2014-03-31,-1
2015-08-04,21950,2015-12-31,,2239000000,-0.027,,,,,-60000000,,-62000000,,-148000000,,,-127.16,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-01-01,2015-06-30,0
2015-08-04,21950,2014-12-31,,2229000000,,,,,,-66000000,,-74000000,,-61000000,,,-52.95,,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-01-01,2014-06-30,-1
2015-08-04,21950,2015-12-31,,4548000000,-0.044,,,,,-124000000,,-139000000,,-168000000,,,-143.78,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-01-01,2015-12-31,0
