filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2024-11-14,269A0,2024-09-30,,634000000,0.508,,,,,-19000000,,-28000000,,-29000000,,,-23.66,,,-0.080,-0.030,,452000000,167000000,0.371,120.73,,-31000000,-99000000,195000000,220000000,0.00,0.000,,,1388700,,1227904,false,false,12,2023-10-01,2024-09-30,0
2024-11-14,269A0,2023-09-30,,421000000,0.404,,,,,-147000000,,-147000000,,-147000000,,,-132.67,,,-0.599,-0.351,,265000000,-252000000,,-227.61,,-177000000,-31000000,187000000,156000000,0.00,0.000,,,11111,,11111,false,false,12,2022-10-01,2023-09-30,-1
2024-11-14,269A0,2025-09-30,,924000000,0.455,,,,,80000000,,67000000,,66000000,,,42.83,,,,,,,,,,,,,,,0.00,0.000,,,,,,false,true,12,2024-10-01,2025-09-30,1
2025-02-14,269A0,2025-09-30,1,214000000,,,,,,4000000,,-6000000,,-6000000,,,-4.22,,,,,,507000000,421000000,0.831,,421000000,,,,,,,,,1577100,,1504504,false,false,3,2024-10-01,2024-12-31,0
2025-02-14,269A0,2025-09-30,1,924000000,0.455,,,,,80000000,,67000000,,66000000,,,42.83,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2024-10-01,2025-09-30,0
2025-02-14,269A0,2024-09-30,1,,,,,,,,,,,,,,,,,,,,452000000,167000000,0.371,,167000000,,,,,0.00,,,,1388700,,,false,false,12,2023-10-01,2024-09-30,-1
2025-02-14,269A0,2024-09-30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1227904,false,false,3,2023-10-01,2023-12-31,-1
2025-05-14,269A0,2025-09-30,2,448000000,1.570,,,,,15000000,,4000000,,4000000,,,2.74,2.60,,,,,520000000,431000000,0.830,,431000000,,,,,,,,,1577100,,1540403,false,false,6,2024-10-01,2025-03-31,0
2025-05-14,269A0,2024-09-30,2,285000000,,,,,,-12000000,,-14000000,,-14000000,,,,,,,,,,,,,,,,,,,,,,,,1111100,false,false,6,2023-10-01,2024-03-31,-1
2025-05-14,269A0,2025-09-30,2,924000000,0.455,,,,,80000000,,67000000,,66000000,,,42.83,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2024-10-01,2025-09-30,0
2025-05-14,269A0,2024-09-30,2,,,,,,,,,,,,,,,,,,,,452000000,167000000,0.371,,167000000,,,,,0.00,,,,1388700,,,false,false,12,2023-10-01,2024-09-30,-1
2025-05-14,269A0,2025-09-30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2024-10-01,2025-09-30,0
