filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2021-02-12,41650,2021-09-30,1,1209000000,,,,,,12000000,,-161000000,,-232000000,,,-6.52,,,,,,5103000000,3624000000,0.710,,3624000000,,,,,,,,,36945900,,35675389,false,false,3,2020-10-01,2020-12-31,0
2021-02-12,41650,2021-09-30,1,5211000000,0.300,,,,,25000000,,-235000000,,-238000000,,,-6.51,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2020-10-01,2021-09-30,0
2021-02-12,41650,2020-09-30,1,,,,,,,,,,,,,,,,,,,,3068000000,1604000000,0.523,,1604000000,,,,,0.00,,,,35408900,,,false,false,12,2019-10-01,2020-09-30,-1
2021-05-13,41650,2021-09-30,2,2532000000,,,,,,133000000,,-71000000,,-143000000,,,-3.91,,,,,,6141000000,4806000000,0.783,,4806000000,,,,,,,,,37855900,,36667285,false,false,6,2020-10-01,2021-03-31,0
2021-05-13,41650,2021-09-30,2,5211000000,0.300,,,,,25000000,,-235000000,,-238000000,,,-6.51,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2020-10-01,2021-09-30,0
2021-05-13,41650,2020-09-30,2,,,,,,,,,,,,,,,,,,,,3068000000,1604000000,0.523,,1604000000,,,,,0.00,,,,35408900,,,false,false,12,2019-10-01,2020-09-30,-1
2021-05-13,41650,2021-09-30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2020-10-01,2021-09-30,0
2021-08-10,4165,2021-09-30,3,3934000000,0.361,,,,,221000000,,13000000,,-59000000,,,-1.60,,,,,,6359000000,4908000000,0.772,,4906000000,,,,,,,,,37886900,25,37064846,false,false,9,2020-10-01,2021-06-30,0
2021-08-10,4165,2020-09-30,3,2892000000,,,,,,-994000000,,-1114000000,,-1116000000,,,-31.69,,,,,,,,,,,,,,,,,,,,,35217027,false,false,9,2019-10-01,2020-06-30,-1
2021-08-10,4165,2021-09-30,3,5437000000,0.357,,,,,151000000,,-59000000,,-132000000,,,-3.59,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2020-10-01,2021-09-30,0
