filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-07-30,97330,2016-03-31,1,8233000000,0.154,,,,,-746000000,,-768000000,,,-613000000,,-64.73,,,,,,60614000000,12464000000,0.206,,12464000000,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,0
2015-07-30,97330,2015-03-31,1,7137000000,0.029,,,,,-1136000000,,-1393000000,,,-1180000000,,-124.23,,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-04-01,2014-06-30,-1
2015-07-30,97330,2016-03-31,1,46321000000,0.114,,,,,6069000000,0.270,5537000000,0.250,,3163000000,,333.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-07-30,97330,2015-03-31,1,,,,,,,,,,,,,,,,,,,,63609000000,13894000000,0.218,,13894000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-07-30,97330,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,10148409,672568,,false,false,12,2014-04-01,2015-03-31,-1
2015-07-30,97330,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-07-30,97330,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10148409,672568,9475841,false,false,3,2015-04-01,2015-06-30,0
2015-07-30,97330,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9502371,false,false,3,2014-04-01,2014-06-30,-1
2015-11-04,97330,2016-03-31,2,19457000000,0.152,,,,,838000000,,657000000,,,236000000,,24.92,,,,,,59034000000,13043000000,0.221,,13043000000,,,,,,,,,,,,true,false,6,2015-04-01,2015-09-30,0
2015-11-04,97330,2015-03-31,2,16890000000,0.021,,,,,-30000000,,-383000000,,,-566000000,,-59.75,,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-04-01,2014-09-30,-1
2015-11-04,97330,2016-03-31,2,46321000000,0.114,,,,,6069000000,0.270,5537000000,0.250,,3163000000,,333.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-11-04,97330,2015-03-31,2,,,,,,,,,,,,,,,,,,,,63609000000,13894000000,0.218,,13894000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-11-04,97330,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,10148409,672568,,false,false,12,2014-04-01,2015-03-31,-1
2015-11-04,97330,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2015-11-04,97330,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-11-04,97330,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10148409,672583,9475836,false,false,6,2015-04-01,2015-09-30,0
2015-11-04,97330,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9489923,false,false,6,2014-04-01,2014-09-30,-1
2016-02-02,97330,2016-03-31,3,32684000000,0.134,,,,,4045000000,0.578,3772000000,0.598,,2186000000,,230.75,,,,,,64145000000,14980000000,0.234,,14980000000,,,,,,,,,,,,true,false,9,2015-04-01,2015-12-31,0
2016-02-02,97330,2015-03-31,3,28831000000,0.020,,,,,2563000000,-0.253,2361000000,-0.277,,1070000000,,112.82,,,,,,,,,,,,,,,,,,,,,,true,false,9,2014-04-01,2014-12-31,-1
2016-02-02,97330,2016-03-31,3,46321000000,0.114,,,,,6069000000,0.270,5537000000,0.250,,3163000000,,333.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2016-02-02,97330,2015-03-31,3,,,,,,,,,,,,,,,,,,,,63609000000,13894000000,0.218,,13894000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-02-02,97330,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,10148409,672568,,false,false,12,2014-04-01,2015-03-31,-1
2016-02-02,97330,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2016-02-02,97330,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2016-02-02,97330,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10148409,673483,9475581,false,false,9,2015-04-01,2015-12-31,0
2016-02-02,97330,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9485483,false,false,9,2014-04-01,2014-12-31,-1
2016-04-28,97330,2016-03-31,,45742000000,0.100,,,,,6514000000,0.363,5929000000,0.338,,3442000000,,363.28,,0.229,0.091,0.142,,66528000000,16229000000,0.244,1716.34,16229000000,8023000000,-4672000000,-2002000000,20255000000,,0.358,,,,,,true,false,12,2015-04-01,2016-03-31,0
2016-04-28,97330,2015-03-31,,41574000000,0.043,,,,,4777000000,-0.125,4431000000,-0.127,,2140000000,,225.73,,0.162,0.074,0.115,,63609000000,13894000000,0.218,1466.33,13894000000,4530000000,-6213000000,4176000000,19077000000,,0.443,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-04-28,97330,2017-03-31,,50020000000,0.094,,,,,6861000000,0.053,6361000000,0.073,,3867000000,,408.95,,,,,,,,,,,,,,,,0.318,,,,,,true,true,12,2016-04-01,2017-03-31,1
2016-04-28,97330,2016-03-31,,28149000000,0.065,,,,,4872000000,0.323,4417000000,0.276,2913000000,,0.591,307.52,,,,,,57741000000,17170000000,0.297,1815.87,17170000000,,,,,130.00,,,,10148409,692483,9475000,false,false,12,2015-04-01,2016-03-31,0
2016-04-28,97330,2015-03-31,,26427000000,0.030,,,,,3683000000,-0.116,3460000000,-0.136,1831000000,,-0.252,193.09,,,,,,55615000000,15305000000,0.275,1615.26,15305000000,,,,,100.00,,,,10148409,672568,9483105,false,false,12,2014-04-01,2015-03-31,-1
2016-04-28,97330,2017-03-31,,31135000000,0.106,,,,,,,4840000000,0.096,3142000000,,0.078,332.28,,,,,,,,,,,,,,,130.00,,,,,,,false,true,12,2016-04-01,2017-03-31,1
2016-07-28,97330,2017-03-31,1,8147000000,-0.010,,,,,-1324000000,,-1619000000,,,-1347000000,,-143.14,,,,,,62518000000,13148000000,0.210,,13148000000,,,,,,,,,,,,true,false,3,2016-04-01,2016-06-30,0
