filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-15,30770,2015-03-31,,8550000000,0.042,,,,,566000000,0.377,568000000,0.371,248000000,,1.051,43.78,0.00,0.076,0.095,0.066,,6056000000,3384000000,0.559,596.98,3384000000,1185000000,-488000000,-361000000,690000000,7.00,0.160,,,5670000,333,5669694,false,false,12,2014-04-01,2015-03-31,0
2015-05-15,30770,2014-03-31,,8209000000,0.094,,,,,411000000,-0.346,414000000,-0.345,121000000,,-0.598,21.34,0.00,0.039,0.075,0.050,,5865000000,3172000000,0.541,559.47,3172000000,730000000,-1242000000,346000000,355000000,7.00,0.328,,,5670000,303,5669729,false,false,12,2013-04-01,2014-03-31,-1
2015-05-15,30770,2016-03-31,,4230000000,0.025,,,,,193000000,0.272,182000000,0.190,100000000,,0.170,17.75,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,1
2015-05-15,30770,2016-03-31,,8750000000,0.023,,,,,600000000,0.061,574000000,0.010,270000000,,0.090,47.75,,,,,,,,,,,,,,,7.00,0.147,,,,,,false,true,12,2015-04-01,2016-03-31,1
2015-07-30,30770,2016-03-31,1,2000000000,-0.023,,,,,63000000,0.007,64000000,-0.093,23000000,,-0.403,4.23,,,,,,6066000000,3374000000,0.556,,3374000000,,,,,,,,,5670000,333,5669667,false,false,3,2015-04-01,2015-06-30,0
2015-07-30,30770,2015-03-31,1,2046000000,0.075,,,,,63000000,-0.393,70000000,-0.324,40000000,,-0.175,7.09,,,,,,,,,,,,,,,,,,,,,5669697,false,false,3,2014-04-01,2014-06-30,-1
2015-07-30,30770,2016-03-31,1,4230000000,0.025,,,,,193000000,0.272,182000000,0.190,100000000,,0.170,17.75,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,0
2015-07-30,30770,2016-03-31,1,8750000000,0.023,,,,,600000000,0.061,574000000,0.010,270000000,,0.090,47.75,,,,,,,,,,,,,,,7.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-07-30,30770,2015-03-31,1,,,,,,,,,,,,,,,,,,,,6056000000,3384000000,0.559,,3384000000,,,,,7.00,,,,5670000,333,,false,false,12,2014-04-01,2015-03-31,-1
2015-10-22,30770,2016-03-31,,4030000000,-0.047,,,,,143000000,-0.258,142000000,-0.223,-67000000,,,-11.93,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,0
