filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-08,67710,2015-03-31,,24863000000,-0.034,,,,,913000000,0.192,1159000000,-0.037,1109000000,,0.016,18.67,,0.084,0.038,0.037,,31407000000,13921000000,0.443,234.24,13921000000,484000000,-1263000000,1245000000,2872000000,,0.161,,,,,,true,false,12,2014-04-01,2015-03-31,0
2015-05-08,67710,2014-03-31,,25731000000,0.061,,,,,766000000,0.717,1204000000,0.570,1091000000,,0.207,16.87,,0.086,0.042,0.030,,29741000000,12568000000,0.423,211.40,12568000000,-2004000000,-392000000,925000000,2319000000,,0.119,,,,,,true,false,12,2013-04-01,2014-03-31,-1
2015-05-08,67710,2016-03-31,,8000000000,-0.032,,,,,-900000000,,-900000000,,,-900000000,,-15.14,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,1
2015-05-08,67710,2016-03-31,,26000000000,0.046,,,,,1000000000,0.095,1100000000,-0.051,,1050000000,,17.67,,,,,,,,,,,,,,,,0.170,,,,,,true,true,12,2015-04-01,2016-03-31,1
2015-05-08,67710,2015-03-31,,22115000000,-0.058,,,,,452000000,-0.336,902000000,-0.325,907000000,,-0.272,15.27,,,,,,31599000000,14412000000,0.456,242.50,14412000000,,,,,3.00,,,,72857468,13423208,59446239,false,false,12,2014-04-01,2015-03-31,0
2015-05-08,67710,2014-03-31,,23484000000,0.029,,,,,681000000,0.874,1337000000,0.354,1245000000,,0.066,19.24,,,,,,29884000000,13186000000,0.441,221.78,13186000000,,,,,2.00,,,,72857468,13402323,64745229,false,false,12,2013-04-01,2014-03-31,-1
2015-05-08,67710,2016-03-31,,7000000000,0.016,,,,,-950000000,,-950000000,,-950000000,,,-15.98,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,1
2015-05-08,67710,2016-03-31,,24000000000,0.085,,,,,700000000,0.548,800000000,-0.113,750000000,,-0.174,12.62,,,,,,,,,,,,,,,3.00,,,,,,,false,true,12,2015-04-01,2016-03-31,1
2015-08-03,67710,2016-03-31,1,2420000000,-0.039,,,,,-969000000,,-866000000,,,-872000000,,-14.68,,,,,,28502000000,13020000000,0.457,,13020000000,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,0
2015-08-03,67710,2015-03-31,1,2519000000,0.090,,,,,-739000000,,-773000000,,,-770000000,,-12.96,,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-04-01,2014-06-30,-1
2015-08-03,67710,2016-03-31,1,8000000000,-0.032,,,,,-900000000,,-900000000,,,-900000000,,-15.14,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,0
2015-08-03,67710,2016-03-31,1,26000000000,0.046,,,,,1000000000,0.095,1100000000,-0.051,,1050000000,,17.67,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-08-03,67710,2015-03-31,1,,,,,,,,,,,,,,,,,,,,31407000000,13921000000,0.443,,13921000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-08-03,67710,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,72857468,13423208,,false,false,12,2014-04-01,2015-03-31,-1
2015-08-03,67710,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-08-03,67710,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72857468,13387206,59446460,false,false,3,2015-04-01,2015-06-30,0
2015-08-03,67710,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59454553,false,false,3,2014-04-01,2014-06-30,-1
2015-11-06,67710,2016-03-31,2,7891000000,-0.045,,,,,-994000000,,-955000000,,,-994000000,,-16.72,,,,,,28345000000,12691000000,0.448,,12691000000,,,,,,,,,,,,true,false,6,2015-04-01,2015-09-30,0
2015-11-06,67710,2015-03-31,2,8267000000,0.076,,,,,-892000000,,-763000000,,,-746000000,,-12.56,,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-04-01,2014-09-30,-1
2015-11-06,67710,2016-03-31,2,26000000000,0.046,,,,,1000000000,0.095,1100000000,-0.051,,1050000000,,17.67,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-11-06,67710,2015-03-31,2,,,,,,,,,,,,,,,,,,,,31407000000,13921000000,0.443,,13921000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-11-06,67710,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,72857468,13423208,,false,false,12,2014-04-01,2015-03-31,-1
2015-11-06,67710,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2015-11-06,67710,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-11-06,67710,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72857468,13316831,59473771,false,false,6,2015-04-01,2015-09-30,0
2015-11-06,67710,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59452230,false,false,6,2014-04-01,2014-09-30,-1
2016-02-04,67710,2016-03-31,3,12716000000,-0.050,,,,,-1567000000,,-1510000000,,,-1539000000,,-25.88,,,,,,30279000000,12127000000,0.401,,12127000000,,,,,,,,,,,,true,false,9,2015-04-01,2015-12-31,0
2016-02-04,67710,2015-03-31,3,13384000000,0.118,,,,,-961000000,,-606000000,,,-618000000,,-10.41,,,,,,,,,,,,,,,,,,,,,,true,false,9,2014-04-01,2014-12-31,-1
2016-02-04,67710,2016-03-31,3,26000000000,0.046,,,,,1000000000,0.095,1100000000,-0.051,,1050000000,,17.67,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2016-02-04,67710,2015-03-31,3,,,,,,,,,,,,,,,,,,,,31407000000,13921000000,0.443,,13921000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-02-04,67710,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,72857468,13423208,,false,false,12,2014-04-01,2015-03-31,-1
2016-02-04,67710,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2016-02-04,67710,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2016-02-04,67710,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72857468,13277132,59500350,false,false,9,2015-04-01,2015-12-31,0
2016-02-04,67710,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59449144,false,false,9,2014-04-01,2014-12-31,-1
2016-05-02,67710,2016-03-31,,24535000000,-0.056,,,,,364000000,-0.636,281000000,-0.745,,243000000,,4.08,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2016-05-02,67710,2015-03-31,,24863000000,,,,,,913000000,,1159000000,,,1109000000,,18.67,,,,,,,,,,,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-05-02,67710,2016-03-31,,21284000000,-0.113,,,,,5000000,-0.993,84000000,-0.895,67000000,,-0.911,1.13,,,,,,,,,,,,,,,1.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2016-05-02,67710,2015-03-31,,22115000000,,,,,,452000000,,902000000,,907000000,,,15.27,,,,,,,,,,,,,,,3.00,,,,,,,false,false,12,2014-04-01,2015-03-31,-1
2016-05-02,67710,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2016-05-06,67710,2016-03-31,,24535000000,-0.013,,,,,364000000,-0.601,281000000,-0.757,,243000000,,4.09,,0.018,0.009,0.015,,29967000000,13393000000,0.447,222.49,13393000000,1269000000,-567000000,-26000000,3538000000,,0.244,,,,,,true,false,12,2015-04-01,2016-03-31,0
2016-05-06,67710,2015-03-31,,24863000000,-0.034,,,,,913000000,0.192,1159000000,-0.037,,1109000000,,18.67,,0.084,0.038,0.037,,31407000000,13921000000,0.443,234.24,13921000000,484000000,-1263000000,1245000000,2872000000,,0.161,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-05-06,67710,2017-03-31,,7000000000,-0.113,,,,,-1650000000,,-1650000000,,,-1650000000,,-27.41,,,,,,,,,,,,,,,,,,,,,,true,true,6,2016-04-01,2016-09-30,1
2016-05-06,67710,2017-03-31,,25000000000,0.019,,,,,300000000,-0.176,300000000,0.066,,250000000,,4.15,,,,,,,,,,,,,,,,0.482,,,,,,true,true,12,2016-04-01,2017-03-31,1
2016-05-06,67710,2016-03-31,,21284000000,-0.038,,,,,5000000,-0.987,84000000,-0.907,67000000,,-0.925,1.14,,,,,,29926000000,14226000000,0.475,236.32,14226000000,,,,,1.00,,,,72857468,12656460,59524207,false,false,12,2015-04-01,2016-03-31,0
2016-05-06,67710,2015-03-31,,22115000000,-0.058,,,,,452000000,-0.336,902000000,-0.325,907000000,,-0.272,15.27,,,,,,31599000000,14412000000,0.456,242.50,14412000000,,,,,3.00,,,,72857468,13423208,59446239,false,false,12,2014-04-01,2015-03-31,-1
2016-05-06,67710,2017-03-31,,6400000000,0.016,,,,,-1650000000,,-1650000000,,-1650000000,,,-27.41,,,,,,,,,,,,,,,,,,,,,,false,true,6,2016-04-01,2016-09-30,1
2016-05-06,67710,2017-03-31,,23000000000,0.081,,,,,150000000,,150000000,0.782,100000000,,0.475,1.66,,,,,,,,,,,,,,,2.00,,,,,,,false,true,12,2016-04-01,2017-03-31,1
2016-07-28,67710,2017-03-31,1,3901000000,0.612,,,,,-812000000,,-1004000000,,,-1021000000,,-16.97,,,,,,26536000000,11933000000,0.450,,11933000000,,,,,,,,,,,,true,false,3,2016-04-01,2016-06-30,0
2016-07-28,67710,2016-03-31,1,2420000000,-0.039,,,,,-969000000,,-866000000,,,-872000000,,-14.68,,,,,,,,,,,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,-1
