filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-07-07,36970,2015-08-31,3,2268000000,0.519,,,,,218000000,2.442,215000000,2.288,139000000,,5.096,10.10,9.10,,,,,2024000000,1458000000,0.709,,1434000000,,,,,,,,,,,,true,false,9,2014-09-01,2015-05-31,0
2015-07-07,36970,2014-08-31,3,1493000000,,,,,,63000000,,65000000,,22000000,,,1.82,,,,,,,,,,,,,,,,,,,,,,true,false,9,2013-09-01,2014-05-31,-1
2015-07-07,36970,2015-08-31,3,3043000000,0.415,,,,,293000000,1.362,285000000,1.296,190000000,,0.273,13.74,,,,,,,,,,,,,,,,,,,,,,true,true,12,2014-09-01,2015-08-31,0
2015-07-07,36970,2014-08-31,3,,,,,,,,,,,,,,,,,,,,1530000000,1056000000,0.690,,1056000000,,,,,,,,,,,,true,false,12,2013-09-01,2014-08-31,-1
2015-07-07,36970,2014-08-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,12568000,,,false,false,12,2013-09-01,2014-08-31,-1
2015-07-07,36970,2015-08-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2014-09-01,2015-08-31,0
2015-07-07,36970,2015-08-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2014-09-01,2015-08-31,0
2015-07-07,36970,2015-08-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14410500,,13814987,false,false,9,2014-09-01,2015-05-31,0
2015-07-07,36970,2014-08-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12568000,false,false,9,2013-09-01,2014-05-31,-1
2015-10-08,36970,2015-08-31,,3288000000,0.529,,,,,319000000,1.572,315000000,1.538,195000000,,0.306,13.99,12.69,0.154,0.168,0.097,,2224000000,1516000000,0.669,103.33,1489000000,292000000,-166000000,254000000,1286000000,,,,,,,,true,false,12,2014-09-01,2015-08-31,0
2015-10-08,36970,2014-08-31,,2150000000,0.640,,,,,124000000,,124000000,,149000000,,,11.90,,0.153,0.093,0.058,,1530000000,1056000000,0.690,84.03,1056000000,253000000,-56000000,-46000000,903000000,,,,,,,,true,false,12,2013-09-01,2014-08-31,-1
2015-10-08,36970,2016-08-31,,2161000000,0.523,,,,,194000000,0.158,184000000,0.128,113000000,,0.083,7.86,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-09-01,2016-02-29,1
2015-10-08,36970,2016-08-31,,4687000000,0.425,,,,,458000000,0.435,495000000,0.569,288000000,,0.474,20.00,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-09-01,2016-08-31,1
2015-10-08,36970,2015-08-31,,3259000000,0.558,,,,,322000000,1.014,319000000,0.834,196000000,,0.690,14.06,12.76,,,,,2167000000,1484000000,0.684,102.82,1481000000,,,,,0.00,,,,14410500,,13965089,false,false,12,2014-09-01,2015-08-31,0
2015-10-08,36970,2014-08-31,,2092000000,0.601,,,,,159000000,,174000000,,116000000,,,9.25,,,,,,1515000000,1049000000,0.693,83.53,1049000000,,,,,0.00,,,,12568000,,12568000,false,false,12,2013-09-01,2014-08-31,-1
2015-10-08,36970,2016-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,true,12,2015-09-01,2016-08-31,1
2016-01-12,36970,2016-08-31,1,1140000000,0.731,,,,,55000000,-0.353,55000000,-0.298,37000000,,-0.268,2.57,2.37,,,,,2168000000,1553000000,0.704,,1526000000,,,,,,,,,,,,true,false,3,2015-09-01,2015-11-30,0
