filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-07,81540,2015-03-31,,255143000000,-0.011,,,,,6362000000,0.246,7664000000,0.311,4416000000,,0.139,156.28,,0.078,0.060,0.025,,127948000000,59603000000,0.466,2108.04,59564000000,9127000000,-1465000000,-4431000000,17569000000,,0.256,,,,,,true,false,12,2014-04-01,2015-03-31,0
2015-05-07,81540,2014-03-31,,257852000000,0.192,,,,,5106000000,3.052,5847000000,2.028,3877000000,,7.718,137.22,,0.076,0.049,0.020,,126028000000,52825000000,0.419,1868.07,52786000000,3334000000,-3339000000,1024000000,13361000000,,0.255,,,,,,true,false,12,2013-04-01,2014-03-31,-1
2015-05-07,81540,2016-03-31,,125000000000,0.039,,,,,3100000000,0.011,3300000000,-0.093,,2200000000,,77.86,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,1
2015-05-07,81540,2016-03-31,,260000000000,0.019,,,,,6500000000,0.022,7000000000,-0.087,,4600000000,,162.80,,,,,,,,,,,,,,,,0.246,,,,,,true,true,12,2015-04-01,2016-03-31,1
2015-05-07,81540,2015-03-31,,90138000000,-0.046,,,,,324000000,1.811,2845000000,0.322,1790000000,,1.641,63.37,,,,,,73071000000,37186000000,0.509,1316.06,37186000000,,,,,40.00,,,,28702118,446040,28256695,false,false,12,2014-04-01,2015-03-31,0
2015-05-07,81540,2014-03-31,,94517000000,0.142,,,,,115000000,,2152000000,-0.141,678000000,,,24.00,,,,,,73149000000,35656000000,0.487,1261.85,35656000000,,,,,35.00,,,,28702118,445002,28257761,false,false,12,2013-04-01,2014-03-31,-1
2015-05-07,81540,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,false,true,12,2015-04-01,2016-03-31,1
2015-08-04,81540,2016-03-31,1,58349000000,0.026,,,,,1598000000,0.896,1773000000,0.733,,1147000000,,40.60,,,,,,121684000000,60197000000,0.494,,60151000000,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,0
2015-08-04,81540,2015-03-31,1,56849000000,-0.014,,,,,842000000,1.399,1023000000,0.968,,451000000,,15.99,,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-04-01,2014-06-30,-1
2015-08-04,81540,2016-03-31,1,125000000000,0.039,,,,,3100000000,0.011,3300000000,-0.093,,2200000000,,77.86,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,0
2015-08-04,81540,2016-03-31,1,260000000000,0.019,,,,,6500000000,0.022,7000000000,-0.087,,4600000000,,162.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-08-04,81540,2015-03-31,1,,,,,,,,,,,,,,,,,,,,127948000000,59603000000,0.466,,59564000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-08-04,81540,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,28702118,446040,,false,false,12,2014-04-01,2015-03-31,-1
2015-08-04,81540,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-08-04,81540,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28702118,446123,28256017,false,false,3,2015-04-01,2015-06-30,0
2015-08-04,81540,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28257098,false,false,3,2014-04-01,2014-06-30,-1
2015-10-28,81540,2016-03-31,,122900000000,-0.017,,,,,4150000000,0.339,4400000000,0.333,,2900000000,,102.63,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,0
2015-10-28,81540,2015-03-31,,120318000000,,,,,,3067000000,,3636000000,,,2157000000,,76.34,,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-04-01,2014-09-30,-1
2015-11-04,81540,2016-03-31,2,122975000000,0.022,,,,,4195000000,0.368,4427000000,0.217,,2943000000,,104.17,,,,,,123959000000,60924000000,0.491,,60882000000,,,,,,,,,,,,true,false,6,2015-04-01,2015-09-30,0
2015-11-04,81540,2015-03-31,2,120318000000,-0.014,,,,,3067000000,0.398,3636000000,0.492,,2157000000,,76.34,,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-04-01,2014-09-30,-1
2015-11-04,81540,2016-03-31,2,252000000000,-0.012,,,,,7200000000,0.132,7700000000,0.005,,5000000000,,176.96,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-11-04,81540,2015-03-31,2,,,,,,,,,,,,,,,,,,,,127948000000,59603000000,0.466,,59564000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-11-04,81540,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,28702118,446040,,false,false,12,2014-04-01,2015-03-31,-1
2015-11-04,81540,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2015-11-04,81540,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-11-04,81540,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28702118,446606,28255854,false,false,6,2015-04-01,2015-09-30,0
2015-11-04,81540,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28256963,false,false,6,2014-04-01,2014-09-30,-1
2016-02-02,81540,2016-03-31,3,182205000000,-0.029,,,,,6145000000,0.230,6442000000,0.070,,4372000000,,154.73,,,,,,129991000000,62200000000,0.478,,62156000000,,,,,,,,,,,,true,false,9,2015-04-01,2015-12-31,0
2016-02-02,81540,2015-03-31,3,187556000000,-0.005,,,,,4998000000,0.216,6018000000,0.336,,3691000000,,130.65,,,,,,,,,,,,,,,,,,,,,,true,false,9,2014-04-01,2014-12-31,-1
2016-02-02,81540,2016-03-31,3,252000000000,-0.012,,,,,7200000000,0.132,7700000000,0.005,,5000000000,,176.96,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2016-02-02,81540,2015-03-31,3,,,,,,,,,,,,,,,,,,,,127948000000,59603000000,0.466,,59564000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2016-02-02,81540,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,28702118,446040,,false,false,12,2014-04-01,2015-03-31,-1
2016-02-02,81540,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2016-02-02,81540,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2016-02-02,81540,2016-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28702118,446681,28255740,false,false,9,2015-04-01,2015-12-31,0
2016-02-02,81540,2015-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28256838,false,false,9,2014-04-01,2014-12-31,-1
,81540,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
,81540,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
,81540,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,,false,false,12,2014-04-01,2015-03-31,-1
