filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-08,72840,2015-03-31,,20235000000,-0.019,,,,,410000000,-0.271,656000000,-0.235,512000000,,-0.125,16.40,,0.045,0.029,0.020,,23747000000,12477000000,0.525,356.27,12477000000,1310000000,-1280000000,466000000,4605000000,,0.244,,,,,,true,false,12,2014-04-01,2015-03-31,0
2015-05-08,72840,2014-03-31,,20616000000,0.084,,,,,563000000,0.338,858000000,0.280,585000000,,-0.101,21.84,,0.060,0.041,0.027,,21672000000,10214000000,0.471,381.33,10214000000,1599000000,-1448000000,471000000,3381000000,,0.137,,,,,,true,false,12,2013-04-01,2014-03-31,-1
2015-05-08,72840,2016-03-31,,9000000000,-0.113,,,,,100000000,-0.638,40000000,-0.861,,120000000,,3.43,,,,,,,,,,,,,,,,,,,,,,true,true,6,2015-04-01,2015-09-30,1
2015-05-08,72840,2016-03-31,,19400000000,-0.041,,,,,300000000,-0.269,260000000,-0.604,,390000000,,11.14,,,,,,,,,,,,,,,,0.359,,,,,,true,true,12,2015-04-01,2016-03-31,1
2015-05-08,72840,2015-03-31,,18361000000,-0.033,,,,,400000000,-0.124,639000000,0.255,501000000,,0.629,16.07,,,,,,22513000000,11744000000,0.522,335.33,11744000000,,,,,4.00,,,,35028594,5398,31221345,false,false,12,2014-04-01,2015-03-31,0
2015-05-08,72840,2014-03-31,,18993000000,0.054,,,,,456000000,0.241,509000000,-0.090,308000000,,-0.432,11.50,,,,,,20686000000,9803000000,0.474,366.02,9803000000,,,,,6.00,,,,35028594,8243366,26790464,false,false,12,2013-04-01,2014-03-31,-1
2015-05-08,72840,2016-03-31,,8100000000,-0.127,,,,,180000000,-0.161,220000000,-0.282,320000000,,0.793,9.14,,,,,,,,,,,,,,,,,,,,,,false,true,6,2015-04-01,2015-09-30,1
2015-05-08,72840,2016-03-31,,16900000000,-0.080,,,,,440000000,0.100,540000000,-0.156,690000000,,0.375,19.70,,,,,,,,,,,,,,,4.00,,,,,,,false,true,12,2015-04-01,2016-03-31,1
,72840,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
,72840,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,false,false,12,2014-04-01,2015-03-31,-1
