docID,edinetCode,secCode,submitDateTime,periodStart,periodEnd,parentDocID
S1004OLO,E30053,60810,2015-05-13 15:57,2015-01-01,2015-03-31,
S1004OGL,E30698,,2015-05-13 16:00,2015-01-01,2015-03-31,
S1004OFR,E31037,42480,2015-05-13 16:00,2015-01-01,2015-03-31,
S1004ONO,E03101,82020,2015-05-13 16:00,2015-01-01,2015-03-31,
S1004OQL,E30058,45880,2015-05-13 16:01,2015-01-01,2015-03-31,
S1004OB7,E03306,75850,2015-05-13 16:01,2015-01-01,2015-03-31,
S1004OQT,E05374,23890,2015-05-13 16:15,2015-01-01,2015-03-31,
S1004OLH,E27054,29310,2015-05-13 16:19,2015-01-01,2015-03-31,
S1004O89,E24651,71480,2015-05-13 16:46,2015-01-01,2015-03-31,
S1004OSW,E27486,45870,2015-05-13 16:56,2015-01-01,2015-03-31,
S1004OCV,E04955,46420,2015-05-14 09:03,2015-01-01,2015-03-31,
S1004OJT,E01994,,2015-05-14 09:03,2015-01-01,2015-03-31,
S1004OMZ,E00860,49550,2015-05-14 09:04,2015-01-01,2015-03-31,
S1004NKH,E00254,17950,2015-05-14 09:04,2015-01-01,2015-03-31,
S1004O1T,E00770,40450,2015-05-14 09:04,2015-01-01,2015-03-31,
S1004NY5,E05101,47690,2015-05-14 09:04,2015-01-01,2015-03-31,
S1004OK3,E00975,45540,2015-05-14 09:04,2015-01-01,2015-03-31,
S1004NFV,E00408,25730,2015-05-14 09:05,2015-01-01,2015-03-31,
S1004OBP,E01350,58190,2015-05-14 09:06,2015-01-01,2015-03-31,
S1004OBF,E05066,47460,2015-05-14 09:07,2015-01-01,2015-03-31,
S1004OBV,E05235,,2015-05-14 09:08,2015-01-01,2015-03-31,
S1004O1Z,E01421,59500,2015-05-14 09:10,2015-01-01,2015-03-31,
S1004OCO,E02847,75000,2015-05-14 09:10,2015-01-01,2015-03-31,
S1004O72,E05597,30410,2015-05-14 09:11,2015-01-01,2015-03-31,
S1004NTV,E05360,37230,2015-05-14 09:12,2015-01-01,2015-03-31,
S1004OCA,E02040,68770,2015-05-14 09:14,2015-01-01,2015-03-31,
S1004OLJ,E04339,93610,2015-05-14 09:15,2015-01-01,2015-03-31,
S1004OER,E04807,97460,2015-05-14 09:15,2015-01-01,2015-03-31,
S1004M12,E01921,68530,2015-05-14 09:16,2015-01-01,2015-03-31,
S1004OKW,E02491,34390,2015-05-14 09:17,2015-01-01,2015-03-31,
S1004O6R,E01034,49580,2015-05-14 09:18,2015-01-01,2015-03-31,
S1004OQV,E22995,31540,2015-05-14 09:21,2015-01-01,2015-03-31,
