year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,3,12,,False,5409,,1542,967,-19.4,0
2022,3,12,,False,1526495,216228,216228,154356,204.7,0
2023,3,12,,False,1282101,-99015,-186443,-138141,-266.9,0
2023,12,3,,False,261968,-64974,-91449,-64870,-125.4,
2024,3,3,,False,322078,43858,17159,10246,19.8,
2024,3,12,,False,1076584,-252698,-343330,-243728,-471.0,0
2024,6,3,,False,428497,125859,99746,69758,134.8,
2024,9,3,,False,480911,166032,149173,106222,205.3,
2024,12,3,25/02/14,False,449958,122715,106687,76068,146.7,
2025,3,3,25/05/15,False,347094,37142,15063,20267,38.7,
2025,3,12,24/12/18,True,,,,,,0
2025,3,12,25/02/14,True,1689366,442606,,261048,484.3,0
2025,3,12,25/05/15,False,1706460,451748,370669,272315,520.0,0
2025,6,3,25/08/08,False,342799,44899,27294,18284,33.9,
2026,3,12,25/05/15,True,,,,,,0
