year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,8,12,,False,,,-730,-731,-83.6,0
2022,8,12,,False,,,-510,-452,-51.8,0
2023,8,12,,False,23471,1360,838,878,100.4,0
2024,5,3,,False,5952,322,218,105,12.0,
2024,8,3,,False,6503,424,255,107,12.2,
2024,8,12,,False,24900,2246,1714,1150,131.6,0
2024,11,3,,False,6524,716,597,455,52.1,
2025,2,3,,False,6880,869,751,593,67.9,
2025,5,3,25/07/15,False,7073,869,812,594,67.9,
2025,8,3,25/10/15,False,7525,678,572,144,16.5,
2025,8,12,25/06/24,True,26766,2720,2295,1649,188.5,95
2025,8,12,25/07/15,True,26766,2720,2295,1649,188.5,105
2025,8,12,25/10/15,False,28002,3132,2732,1786,204.3,105
2025,11,3,26/01/14,False,7657,1201,1112,797,91.2,
2026,8,12,25/10/15,True,30000,3650,3200,2170,248.1,120
