year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2020,12,12,,False,425,,72,81,45.2,0
2021,12,12,,False,478,,92,61,34.1,0
2022,12,12,,False,564,104,104,75,41.9,0
2023,12,12,,False,764,157,155,109,61.0,0
2024,3,3,,False,186,15,15,9,5.0,
2024,6,3,,False,216,40,39,25,14.3,
2024,9,3,24/11/08,False,245,51,51,25,13.9,
2024,12,3,25/02/14,False,261,63,63,45,22.8,
2024,12,12,24/09/26,True,898,170,163,108,43.2,0
2024,12,12,25/02/14,False,908,169,168,104,52.7,0
2025,3,3,25/05/15,False,291,62,63,41,16.4,
2025,12,12,25/02/14,True,1105,219,214,131,51.6,0
