year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,2,12,,False,,,-201,-201,-12.4,0
2022,2,12,,False,,,-201,-201,-12.4,0.0
2022,5,3,,False,1115,371,341,232,9.6,
2022,8,3,,False,1090,317,299,205,8.4,
2022,11,3,,False,1174,331,322,220,9.1,
2023,2,3,,False,1382,357,350,308,12.7,
2023,2,12,,False,3431,949,826,682,28.1,0.0
2023,5,3,,False,1443,403,396,273,11.2,
2023,8,3,23/10/13,False,1428,406,397,274,11.3,
2023,11,3,24/01/12,False,1525,454,450,308,12.7,
2024,2,3,24/04/12,False,1760,542,537,460,18.9,
2024,2,12,23/09/12,True,6106,1583,1560,1071,43.8,0
2024,2,12,24/04/12,False,6156,1805,1780,1315,54.0,0
2024,2,12,,False,4761,1376,1312,965,39.8,0.0
2024,5,3,24/07/12,False,1678,355,348,262,10.8,
2024,8,3,24/10/15,False,1902,464,456,321,13.3,
2024,11,3,25/01/14,False,1925,473,466,321,13.3,
2025,2,3,25/04/14,False,2175,666,639,514,21.3,
2025,2,12,23/09/12,True,6106,1583,1560,1071,43.8,0.0
2025,2,12,24/04/12,True,7666,2056,2039,1384,56.7,0
2025,2,12,25/04/14,False,7680,1958,1909,1418,58.7,9
2025,5,3,25/07/14,False,2207,492,487,348,14.3,
2025,8,3,25/10/14,False,2154,501,499,358,14.7,
2025,11,3,26/01/13,False,2020,370,366,261,10.7,
2026,2,12,25/04/14,True,9538,2286,2268,1651,67.9,14
2026,2,12,25/10/14,True,9538,2286,2268,1651,67.6,21
2026,2,12,26/01/13,True,8400,1640,1620,1190,48.7,21
