year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,9,3,21/11/12,False,90176,,11368,11630,13.0,
2021,12,3,22/01/28,False,94337,,12549,14249,16.0,
2022,3,3,22/05/13,False,96428,,-10368,-17096,-18.5,
2022,3,12,22/05/13,False,373328,,28299,20385,22.1,2.86
2022,6,3,22/07/29,False,95810,,-2726,-5983,-7.0,
2022,9,3,22/11/14,False,105850,,34297,30878,36.0,
2022,12,3,23/02/07,False,107276,,14287,15516,18.1,
2023,3,3,23/05/12,False,112917,,6278,2360,2.6,
2023,3,12,23/05/12,False,421853,,52136,42771,46.3,2.86
2023,6,3,23/08/04,False,129394,,14763,13160,15.4,
2024,3,12,,False,530771,,61072,57924,70.8,2.86
2025,3,12,,False,614001,,77797,84499,112.7,2.86
2026,3,12,25/12/17,True,,,,100000,112.7,34
