year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,6,12,,False,1004,,62,61,-2.0,0
2022,6,12,,False,1245,,166,225,97.4,0
2023,6,12,,False,1507,109,108,122,76.3,0
2024,6,12,,False,1517,12,18,28,-26.8,0
2025,3,3,,False,459,61,61,68,42.5,
2025,6,3,25/08/12,False,574,4,0,11,6.8,
2025,6,12,25/07/24,True,2006,185,181,203,119.7,0
2025,6,12,25/08/12,False,2008,189,185,197,122.0,0
2025,9,3,25/11/12,False,484,4,-4,10,6.0,
2026,6,12,25/08/12,True,2232,200,187,160,94.4,0
