year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2021,5,12,,False,413,,1,3,1.9,0
2022,5,12,,False,559,,-82,-86,-44.6,0
2023,5,12,,False,802,36,31,47,24.4,0
2024,5,12,,False,1106,221,177,163,83.3,0
2025,2,3,25/04/14,False,371,92,104,70,35.8,
2025,5,3,25/07/14,False,348,56,42,69,34.1,
2025,5,12,25/03/31,True,1427,285,284,206,89.6,0
2025,5,12,25/07/14,False,1412,322,310,245,121.1,0
2025,8,3,25/10/14,False,332,60,73,50,7.0,
2026,5,12,25/07/14,True,1639,328,328,240,99.7,0
