year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2018,6,12,,False,1137,,74,-145,-49.2,0.0
2019,6,12,,False,1284,,165,60,19.1,0.0
2020,6,12,,False,1386,,143,66,16.6,0.0
2021,6,12,,False,2203,315,307,239,59.5,0.0
2022,6,12,,False,3513,501,493,324,80.8,0.0
2022,9,3,,False,997,221,221,163,40.7,
2022,12,3,,False,1095,220,218,130,32.4,
2023,3,3,23/05/12,False,1144,98,72,49,12.2,
2023,6,3,23/08/14,False,1106,134,133,76,18.0,
2023,6,12,23/03/28,True,4062,609,576,391,,0.0
2023,6,12,23/05/12,True,4313,651,619,406,,0.0
2023,6,12,23/08/14,False,4342,673,644,418,99.2,0.0
2023,9,3,23/11/13,False,1036,169,170,103,21.1,
2023,12,3,24/02/13,False,1084,196,195,111,22.5,
2024,3,3,24/05/14,False,1147,161,160,98,19.8,
2024,6,3,24/08/14,False,1398,307,306,190,38.3,
2024,6,12,23/08/14,True,5123,808,806,487,97.6,0.0
2024,6,12,24/05/14,True,4617,810,807,490,98.2,0
2024,6,12,24/08/14,False,4665,833,831,502,101.3,0
2024,9,3,24/11/13,False,1222,91,94,193,38.8,
2024,12,3,25/02/13,False,1207,6,6,5,1.0,
2025,3,3,25/05/14,False,1353,28,28,52,10.4,
2025,6,3,25/08/13,False,1489,85,91,71,14.2,
2025,6,12,24/08/14,True,5200,700,700,636,127.4,35
2025,6,12,25/05/14,True,5210,170,170,270,54.0,35
2025,6,12,25/08/13,False,5271,210,219,321,64.1,35
2025,9,3,25/11/13,False,1456,-255,-257,-179,-35.8,
2026,6,12,25/08/13,True,6920,350,340,220,43.6,35
