year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2022,9,12,,False,328,,120,-204,-170.3,0
2023,9,12,,False,654,52,101,68,50.7,0
2024,9,12,,False,1291,110,109,78,51.3,0
2025,6,3,,False,528,83,83,57,33.8,
2025,9,3,,False,576,84,83,3,1.8,
2025,9,12,,False,2124,320,324,169,100.2,0
2025,12,3,26/02/16,False,562,40,40,26,15.1,
2026,3,3,26/05/15,False,602,74,78,52,27.9,
2026,6,3,26/08/14,False,641,53,52,34,17.7,
2026,9,12,25/12/19,True,2913,428,428,302,154.7,0
